ts,sensor,x,y,z
1782299864983,accel,0.287139,1.150948,9.117754
1782299864989,mag,-5.531250,-15.675000,-41.812500
1782299865001,mag,-8.850000,-16.968750,-40.781250
1782299865001,accel,0.198604,1.227518,9.062719
1782299865001,gyro,0.166490,0.121493,0.172736
1782299865001,gyro,0.149997,0.130656,0.172125
1782299865001,accel,0.124427,1.325624,9.022041
1782299865010,gyro,0.128617,0.119660,0.169071
1782299865010,mag,-5.981250,-15.975000,-41.362503
1782299865010,accel,0.016750,1.421337,9.036397
1782299865017,gyro,0.110291,0.107443,0.166627
1782299865017,accel,-0.031107,1.471586,9.096219
1782299865018,mag,-6.281250,-15.956250,-41.362503
1782299865026,gyro,0.088910,0.101334,0.166627
1782299865026,accel,-0.016750,1.533799,9.098611
1782299865029,mag,-7.706250,-16.106251,-39.393753
1782299865035,accel,0.016750,1.555335,9.072290
1782299865035,gyro,0.057756,0.099502,0.164184
1782299865041,mag,-5.100000,-16.575001,-40.162502
1782299865043,gyro,0.006444,0.082397,0.160519
1782299865043,accel,0.040678,1.533799,9.098611
1782299865050,mag,-6.731250,-16.256250,-41.062500
1782299865051,gyro,-0.060141,0.059184,0.159908
1782299865051,accel,0.069392,1.466800,9.232609
1782299865059,mag,-5.306250,-14.512501,-40.293751
1782299865060,gyro,-0.139553,0.040859,0.160519
1782299865060,accel,0.119641,1.399801,9.467106
1782299865069,gyro,-0.215300,0.045135,0.164184
1782299865070,accel,0.122034,1.328017,9.747066
1782299865070,mag,-7.068750,-16.706251,-40.012501
1782299865077,accel,0.117248,1.237089,10.003098
1782299865077,gyro,-0.282495,0.061017,0.170292
1782299865078,mag,-5.250000,-14.493751,-42.112503
1782299865085,gyro,-0.333197,0.083008,0.177623
1782299865086,accel,0.076570,1.122234,10.237595
1782299865088,mag,-7.837500,-14.906251,-41.362503
1782299865099,gyro,-0.360075,0.105610,0.183731
1782299865099,accel,0.066999,1.026521,10.481662
1782299865099,mag,-5.887500,-15.393750,-40.143753
1782299865102,gyro,-0.361297,0.125158,0.189840
1782299865103,accel,0.100499,0.949951,10.661125
1782299865109,mag,-7.068750,-15.225000,-41.062500
1782299865111,gyro,-0.344193,0.133710,0.189229
1782299865112,accel,0.105284,0.875773,10.728123
1782299865119,mag,-7.068750,-14.475000,-42.112503
1782299865120,gyro,-0.319758,0.117827,0.188618
1782299865120,accel,0.076570,0.859023,10.773587
1782299865130,gyro,-0.286161,0.086063,0.184953
1782299865130,mag,-5.550000,-15.243751,-41.362503
1782299865130,accel,0.071785,0.842274,10.783159
1782299865137,gyro,-0.239124,0.050632,0.176401
1782299865137,accel,0.023928,0.890130,10.744874
1782299865139,mag,-6.750000,-14.925000,-41.812500
1782299865146,gyro,-0.167042,0.019478,0.164184
1782299865146,accel,-0.035892,0.973879,10.546269
1782299865149,mag,-5.887500,-14.343751,-41.193752
1782299865154,gyro,-0.087630,-0.009232,0.147080
