ts,sensor,x,y,z
1782299377148,mag,-5.062500,12.075001,-22.781250
1782299377153,gyro,-0.047465,-0.084521,0.169987
1782299377153,accel,-0.014357,0.447458,9.871493
1782299377159,mag,-5.062500,12.075001,-22.781250
1782299377160,gyro,0.019730,-0.072304,0.169376
1782299377160,accel,-0.055035,0.485743,9.828422
1782299377170,gyro,0.104640,-0.036874,0.164489
1782299377170,mag,-3.581250,13.087501,-22.781250
1782299377170,accel,-0.066999,0.540778,9.651353
1782299377177,gyro,0.187718,-0.011218,0.149828
1782299377177,accel,-0.126820,0.741775,9.380964
1782299377178,mag,-5.156250,11.193750,-23.400002
1782299377186,gyro,0.245750,0.010163,0.140666
1782299377186,accel,-0.224925,1.052842,9.132111
1782299377188,mag,-5.793750,13.143750,-24.600000
1782299377194,gyro,0.273239,0.029710,0.138222
1782299377195,accel,-0.227318,1.361516,9.048362
1782299377200,mag,-4.256250,12.375001,-24.300001
1782299377203,gyro,0.261021,0.043760,0.147996
1782299377203,accel,-0.442672,1.548156,9.034005
1782299377210,mag,-5.081250,13.856251,-23.531250
1782299377212,gyro,0.202989,0.045593,0.169987
1782299377212,accel,-0.564706,1.663012,8.904792
1782299377218,mag,-5.193750,12.525001,-23.700001
1782299377220,gyro,0.098531,0.026045,0.188313
1782299377220,accel,-0.447458,1.691726,8.844972
1782299377229,mag,-4.593750,12.075001,-23.250000
1782299377229,gyro,-0.028528,-0.018548,0.201752
1782299377229,accel,-0.332602,1.658226,9.041183
1782299377242,gyro,-0.140317,-0.065585,0.220078
1782299377242,accel,-0.296710,1.598405,9.445570
1782299377242,mag,-5.100000,12.375001,-21.731251
1782299377246,gyro,-0.222783,-0.080856,0.240236
1782299377246,accel,-0.229711,1.454836,9.861922
1782299377249,mag,-5.400000,13.406251,-22.781250
1782299377254,gyro,-0.286313,-0.055200,0.256119
1782299377254,accel,-0.136391,1.234697,10.213666
1782299377259,mag,-5.268750,13.256250,-21.862501
1782299377263,gyro,-0.341291,-0.011829,0.265893
1782299377263,accel,-0.038285,1.004985,10.412271
1782299377268,mag,-5.081250,14.156251,-23.981251
1782299377271,gyro,-0.389550,0.023602,0.270169
1782299377271,accel,-0.038285,0.775275,10.536698
1782299377278,mag,-5.362500,13.125001,-23.531250
1782299377280,accel,-0.055035,0.598206,10.630018
1782299377280,gyro,-0.423758,0.040095,0.268947
1782299377289,gyro,-0.434754,0.037041,0.262838
1782299377290,accel,-0.050249,0.442672,10.847765
1782299377290,mag,-5.118750,13.837501,-22.462502
1782299377297,gyro,-0.413984,0.041928,0.254286
1782299377298,accel,0.011964,0.339781,11.041584
1782299377298,mag,-4.650000,13.406251,-22.781250
1782299377306,gyro,-0.359006,0.055367,0.240847
