ts,x,y,heading
1772011800876,102,0,S
1772011815403,101,0,W
1772011817336,100,0,W
1772011818985,99,0,W
1772011820469,98,0,W
1772011822017,97,0,W
1772011823613,96,0,W
1772011825242,95,0,W
1772011827268,94,0,W
1772011828767,93,0,W
1772011830408,92,0,W
1772011831967,91,0,W
1772011833533,90,0,W
1772011835108,89,0,W
1772011836808,88,0,W
1772011838317,87,0,W
1772011840099,86,0,W
1772011841765,85,0,W
1772011843482,84,0,W
1772011845099,83,0,W
1772011847731,82,0,W
1772011851180,81,0,W
1772011852797,80,0,W
1772011854396,79,0,W
1772011856080,78,0,W
1772011857715,77,0,W
1772011859289,76,0,W
1772011860970,75,0,W
1772011862760,74,0,W
1772011864652,73,0,W
1772011866511,72,0,W
1772011868168,71,0,W
1772011869818,70,0,W
1772011871660,69,0,W
1772011876249,68,0,W
1772011878025,67,0,W
1772011890473,67,1,S
1772011892127,67,2,S
1772011894104,67,3,S
1772011895871,67,4,S
1772011897552,67,5,S
1772011899228,67,6,S
1772011900985,67,7,S
1772011902784,67,8,S
1772011904693,67,9,S
1772011906191,67,10,S
1772011907942,67,11,S
1772011909668,67,12,S
1772011911384,67,13,S
1772011912959,67,14,S
1772011914717,67,15,S
1772011916340,67,16,S
1772011918098,67,17,S
1772011919740,67,18,S
1772011921329,67,19,S
1772011923106,67,20,S
1772011924772,67,21,S
1772011926571,67,22,S
1772011928170,67,23,S
1772011929964,67,24,S
1772011931629,67,25,S
1772011933436,67,26,S
1772011935237,67,27,S
1772011937020,67,28,S
1772011938727,67,29,S
1772011940452,67,30,S
1772011942186,67,31,S
1772011944043,67,32,S
1772011945943,67,33,S
1772011947975,67,34,S
1772011949742,67,35,S
1772011951458,67,36,S
1772011953049,67,37,S
1772011954624,67,38,S
1772011956439,67,39,S
1772011958080,67,40,S
1772011959631,67,41,S
1772011961331,67,42,S
1772011963230,67,43,S
1772011964913,67,44,S
1772011966771,67,45,S
1772011968829,67,46,S
1772011970629,67,47,S
1772011972370,67,48,S
1772011974936,67,49,S
1772011986265,66,49,W
1772011988356,65,49,W
1772011989997,64,49,W
1772011998145,63,49,W
1772011999820,62,49,W
1772012001338,61,49,W
1772012002878,60,49,W
1772012004551,59,49,W
1772012006210,58,49,W
1772012007911,57,49,W
1772012009542,56,49,W
1772012011268,55,49,W
1772012013058,54,49,W
1772012014651,53,49,W
1772012016293,52,49,W
1772012017917,51,49,W
