ts_ns,ax,ay,az,gx,gy,gz,mx,my,mz
1774594644907,0.33518824,0.8283938,8.834604,-0.70249504,-0.012217305,-0.27488935,-21.24,-8.88,-20.22
1774594644917,0.34476504,0.79966336,8.566454,-0.7318166,-0.017104227,-0.23457226,-21.24,-9.3,-20.039999
1774594644928,0.34476504,0.7230489,8.432379,-0.752586,-0.035430185,-0.21991149,-21.48,-9.0,-20.1
1774594644939,0.37828386,0.7038953,8.303091,-0.77946407,-0.09162979,-0.2125811,-21.9,-9.42,-20.039999
1774594644950,0.34955344,0.5363012,8.298303,-0.829555,-0.22968534,-0.18936823,-22.439999,-9.179999,-20.16
1774594644961,0.38307226,0.45489833,8.394072,-0.86498517,-0.30176744,-0.17592919,-21.84,-8.5199995,-20.46
1774594644972,0.35434186,0.38307226,8.5473,-0.8857546,-0.35918877,-0.16982053,-21.96,-8.4,-19.74
1774594644982,0.32561144,0.25378537,9.050082,-0.91996306,-0.47769663,-0.13683382,-21.779999,-7.3199997,-19.14
1774594644992,0.24899697,0.110133275,9.442732,-0.9089675,-0.4813618,-0.12095132,-22.14,-7.2599998,-18.66
1774594645002,0.2825158,-0.019153614,9.701305,-0.8881981,-0.45448375,-0.096516706,-22.199999,-6.8999996,-18.9
1774594645012,0.34955344,-0.110133275,9.911995,-0.8552113,-0.40439278,-0.06352998,-22.38,-7.08,-18.9
1774594645022,0.45489833,-0.22984336,9.969456,-0.8026769,-0.28344148,-0.013439035,-22.68,-6.48,-18.779999
1774594645033,0.5506664,-0.2777274,9.835381,-0.7867944,-0.2125811,-0.0036651916,-22.8,-6.12,-19.08
1774594645043,0.49799395,-0.2777274,9.701305,-0.7867944,-0.15760323,-0.014660766,-22.74,-5.4,-19.56
1774594645053,0.59376204,-0.35434186,9.572019,-0.8136725,-0.13927728,-0.052534413,-23.46,-6.6,-22.98
1774594645063,0.40701428,-0.46447513,9.595961,-0.816116,-0.13439035,-0.06963864,-23.58,-6.54,-22.859999
1774594645073,0.33039984,-0.8714894,9.720459,-0.8222246,-0.10140363,-0.04642576,-24.06,-6.54,-22.38
1774594645084,0.1436521,-1.5035586,9.89763,-0.8881981,0.039095376,0.064751714,-23.82,-6.6,-21.48
1774594645094,0.21068975,-1.7525556,10.199299,-1.078788,0.40561453,0.44593164,-23.64,-5.7599998,-20.46
1774594645106,0.7230489,-1.067814,9.969456,-1.105666,0.47403142,0.5925393,-23.46,-5.7,-20.039999
1774594645116,1.7190368,0.20590134,10.108319,-1.0164797,0.41050145,0.5119051,-23.699999,-5.58,-20.699999
1774594645126,1.8052281,0.39264908,10.19451,-0.94806284,0.39706242,0.33475417,-23.58,-4.92,-20.52
1774594645137,1.6136919,0.30166942,10.242394,-0.86620694,0.40194935,0.16982053,-23.519999,-4.5,-21.06
1774594645148,1.3982137,0.15322891,10.204087,-0.81000733,0.40194935,0.080634214,-22.8,-3.4199998,-20.64
1774594645158,1.0582372,-0.2825158,10.007763,-0.7086037,0.3494149,-0.040317107,-22.92,-3.0,-20.939999
1774594645168,0.842759,-0.34476504,9.9790325,-0.68661255,0.33475417,-0.065973446,-22.98,-2.76,-21.06
1774594645179,0.7086837,-0.6607997,10.0029745,-0.6817256,0.3286455,-0.08307768,-23.039999,-2.9399998,-21.18
1774594645189,0.29688102,-0.320823,10.342952,-0.6658431,0.344528,-0.112399206,-22.5,-2.6399999,-21.0
1774594645200,0.320823,-0.35913026,10.237606,-0.67073005,0.39706242,-0.13805555,-22.56,-2.3999999,-21.0
1774594645210,0.36391866,-0.46447513,9.964667,-0.6939429,0.4447099,-0.1881465,-22.5,-2.22,-20.46
1774594645221,0.39743748,-0.6799533,10.117896,-0.7318166,0.45081854,-0.23090707,-22.56,-2.1,-21.0
1774594645231,0.21068975,-0.61291564,10.577583,-0.7367035,0.49113566,-0.26267207,-21.96,-2.1,-20.76
1774594645241,0.2825158,-0.9816227,10.802638,-0.7049385,0.54367006,-0.28344148,-21.72,-2.04,-20.939999
1774594645252,0.2825158,-1.0726024,11.056423,-0.6450737,0.5900958,-0.31887165,-21.96,-1.92,-21.42
1774594645263,0.10055647,-1.2306197,10.994174,-0.5045747,0.64996064,-0.35185838,-22.08,-1.74,-21.66
1774594645274,-0.08619126,-1.1923125,10.941502,-0.42760566,0.6658431,-0.36163223,-22.02,-1.74,-21.779999
1774594645285,-0.30645782,-1.0821792,11.003751,-0.36774087,0.657291,-0.35185838,-21.96,-1.56,-21.119999
1774594645295,-0.30166942,-0.9672575,10.716447,-0.22113322,0.5729916,-0.36285394,-20.76,-1.0799999,-21.06
1774594645306,-0.49320555,-0.6799533,10.28549,-0.15271631,0.41783184,-0.3652974,-20.52,-0.71999997,-21.24
1774594645317,-0.44532153,-1.115698,10.251971,-0.103847094,0.18448131,-0.33841935,-19.56,-0.42,-21.9
1774594645328,-0.49799395,-1.163582,10.443508,-0.080634214,0.10873401,-0.30909783,-19.859999,-0.06,-21.9
1774594645338,-0.46447513,-1.1731589,10.625467,-0.06352998,0.07941248,-0.28099802,-19.8,-0.17999999,-21.539999
1774594645348,-0.4213795,-0.9864111,10.749966,-0.039095376,0.062308256,-0.25045475,-20.22,-0.65999997,-21.06
1774594645358,0.1340753,-0.7326257,10.644621,-0.009773844,0.065973446,-0.3005457,-21.18,-2.04,-21.48
1774594645369,0.15801731,-0.58418524,10.55843,-0.004886922,0.06841691,-0.3359759,-21.359999,-2.28,-22.02
1774594645379,0.12928689,-0.45489833,10.457873,-0.007330383,0.08674286,-0.38606682,-21.48,-2.1599998,-22.26
1774594645390,0.0,-0.50757074,10.271125,-0.012217305,0.07819075,-0.45570546,-20.699999,-1.3199999,-20.88
1774594645400,-0.06703765,-0.62728083,10.232818,-0.008552114,0.035430185,-0.47403142,-20.76,-1.26,-20.82
1774594645411,-0.12449849,-0.7086837,10.25676,-0.0036651916,-0.015882496,-0.47036624,-20.4,-1.02,-20.16
1774594645421,-0.22984336,-0.866701,10.290278,0.02687807,-0.10995574,-0.41538838,-20.88,-1.1999999,-20.88
1774594645432,0.019153614,-0.92416185,10.261548,0.02565634,-0.13072516,-0.38240165,-20.58,-0.78,-20.64
1774594645443,0.047884032,-0.8619126,10.323798,0.030543262,-0.14905111,-0.36163223,-20.82,-1.26,-20.939999
1774594645453,0.10534488,-0.6991069,10.414778,0.043982297,-0.16615535,-0.35063666,-20.76,-1.92,-21.359999
1774594645464,0.110133275,-0.4357447,10.43872,0.080634214,-0.19547687,-0.37140608,-20.16,-2.1599998,-20.88
1774594645475,0.29688102,-1.0151415,10.275913,0.089186326,-0.20769419,-0.37873647,-19.92,-1.92,-21.359999
1774594645485,0.36391866,-1.1683705,10.103531,0.089186326,-0.21624629,-0.3811799,-20.16,-1.8,-20.82
1774594645496,-0.009576807,-0.8714894,10.108319,0.07819075,-0.312763,-0.42271876,-20.46,-1.8,-20.82
1774594645507,-0.17238252,-0.79487497,10.141838,0.08552113,-0.35796702,-0.40683624,-20.88,-2.1,-20.46
1774594645518,-0.20590134,-0.7661445,10.180145,0.09162979,-0.3848451,-0.3933972,-20.88,-2.52,-20.58
1774594645528,-0.2777274,-0.89064306,10.462662,0.13683382,-0.4642576,-0.37384954,-20.939999,-2.52,-21.119999
1774594645540,-0.33039984,-0.9768343,10.606314,0.17470746,-0.48258355,-0.35796702,-20.699999,-1.9799999,-21.0
1774594645550,-0.38307226,-0.91458505,10.515334,0.29077184,-0.46792278,-0.2968805,-21.539999,-2.6399999,-20.58
1774594645561,-0.34955344,-0.8714894,10.261548,0.31887165,-0.49235737,-0.2687807,-21.779999,-2.46,-20.699999
