ts_ms,x,y,heading
1774594644298,69,0,S
1774594646852,69,1,S
1774594648350,69,2,S
1774594651100,69,3,S
1774594652599,69,4,S
1774594654015,69,5,S
1774594655374,69,6,S
1774594656724,69,7,S
1774594658291,69,8,S
1774594659598,69,9,S
1774594661016,69,10,S
1774594662749,69,11,S
1774594664607,69,12,S
1774594666166,69,13,S
1774594667981,69,14,S
1774594669714,69,15,S
1774594671297,69,16,S
1774594672729,69,17,S
1774594674244,69,18,S
1774594675746,69,19,S
1774594677196,69,20,S
1774594678684,69,21,S
1774594680205,69,22,S
1774594681696,69,23,S
1774594683147,69,24,S
1774594684671,69,25,S
1774594685921,69,26,S
1774594687529,69,27,S
1774594689037,69,28,S
1774594690469,69,29,S
1774594691819,69,30,S
1774594693443,69,31,S
1774594694777,69,32,S
1774594696425,69,33,S
1774594697883,69,34,S
1774594699351,69,35,S
1774594700851,69,36,S
1774594702535,69,37,S
1774594704018,69,38,S
1774594705637,69,39,S
1774594706992,69,40,S
1774594708576,69,41,S
1774594710058,69,42,S
1774594711550,69,43,S
1774594713075,69,44,S
1774594714550,69,45,S
1774594716124,69,46,S
1774594717608,69,47,S
1774594719152,69,48,S
1774594723156,70,48,E
1774594724483,71,48,E
1774594726197,72,48,E
1774594727663,73,48,E
1774594729155,74,48,E
1774594730538,75,48,E
1774594731971,76,48,E
1774594733413,77,48,E
1774594734929,78,48,E
1774594736437,79,48,E
1774594737728,80,48,E
1774594739328,81,48,E
1774594740794,82,48,E
1774594742186,83,48,E
1774594743719,84,48,E
1774594745152,85,48,E
1774594746542,86,48,E
1774594748043,87,48,E
1774594749535,88,48,E
1774594751175,89,48,E
1774594752808,90,48,E
1774594754324,91,48,E
1774594755832,92,48,E
1774594757216,93,48,E
1774594758716,94,48,E
1774594760407,95,48,E
1774594761940,96,48,E
1774594763425,97,48,E
1774594765039,98,48,E
1774594766548,99,48,E
1774594768039,100,48,E
1774594769481,101,48,E
1774594770938,102,48,E
1774594772537,103,48,E
1774594777702,103,47,N
1774594779860,103,46,N
1774594781469,103,45,N
1774594783175,103,44,N
1774594784893,103,43,N
1774594786493,103,42,N
1774594788168,103,41,N
1774594789623,103,40,N
1774594791148,103,39,N
1774594792782,103,38,N
1774594794439,103,37,N
1774594795997,103,36,N
1774594797388,103,35,N
1774594798855,103,34,N
1774594800372,103,33,N
1774594801896,103,32,N
1774594803504,103,31,N
1774594805129,103,30,N
1774594806844,103,29,N
1774594808385,103,28,N
1774594809986,103,27,N
1774594811361,103,26,N
1774594813012,103,25,N
1774594814677,103,24,N
1774594816585,103,23,N
1774594819492,103,22,N
1774594820886,103,21,N
1774594822350,103,20,N
1774594823792,103,19,N
1774594825299,103,18,N
1774594826748,103,17,N
1774594828233,103,16,N
1774594829674,103,15,N
1774594831281,103,14,N
1774594833065,103,13,N
1774594834717,103,12,N
1774594836223,103,11,N
1774594837806,103,10,N
1774594839332,103,9,N
1774594840913,103,8,N
1774594842464,103,7,N
1774594843965,103,6,N
1774594845514,103,5,N
1774594847138,103,4,N
1774594849220,103,3,N
1774594850987,103,2,N
1774594852404,103,1,N
1774594853879,103,0,N
1774594858010,102,0,W
1774594860019,101,0,W
1774594861594,100,0,W
1774594863317,99,0,W
1774594864918,98,0,W
1774594866535,97,0,W
1774594868018,96,0,W
1774594869601,95,0,W
1774594871176,94,0,W
1774594872702,93,0,W
1774594874218,92,0,W
1774594875735,91,0,W
1774594877268,90,0,W
1774594878709,89,0,W
1774594880299,88,0,W
1774594881883,87,0,W
1774594883383,86,0,W
1774594884757,85,0,W
1774594886391,84,0,W
1774594887799,83,0,W
1774594889414,82,0,W
1774594890915,81,0,W
1774594892383,80,0,W
1774594893922,79,0,W
1774594895471,78,0,W
1774594897105,77,0,W
1774594898703,76,0,W
1774594900271,75,0,W
1774594901821,74,0,W
1774594903379,73,0,W
1774594905044,72,0,W
1774594906635,71,0,W
1774594908269,70,0,W
1774594909902,69,0,W
1774594911453,68,0,W
1774594913061,67,0,W
1774594914569,66,0,W
1774594916137,65,0,W
1774594917570,64,0,W
1774594919144,63,0,W
1774594920834,62,0,W
1774594922360,61,0,W
1774594923925,60,0,W
1774594925750,59,0,W
1774594927366,58,0,W
1774594928932,57,0,W
1774594930353,56,0,W
1774594931932,55,0,W
1774594933383,54,0,W
1774594935049,53,0,W
1774594936523,52,0,W
1774594938040,51,0,W
1774594939514,50,0,W
1774594941173,49,0,W
1774594942498,48,0,W
1774594943880,47,0,W
1774594945414,46,0,W
1774594946780,45,0,W
1774594948505,44,0,W
1774594950012,43,0,W
1774594951571,42,0,W
1774594953414,41,0,W
