ts,ax,ay,az,gx,gy,gz,mx,my,mz
1774512339848,0.4309563,2.1499932,9.184157,-0.09773844,0.05497787,0.05497787,-17.94,-4.5,-38.52
1774512339876,0.45010993,2.183512,9.198523,-0.12339478,0.062308256,0.05497787,-18.18,-5.1,-37.559998
1774512339896,0.48841715,2.1643584,9.169792,-0.15393804,0.08307768,0.059864793,-18.24,-5.1,-37.98
1774512339916,0.4405331,2.1547816,9.193734,-0.19303341,0.13927728,0.05375614,-19.02,-5.4,-37.98
1774512339938,0.4357447,2.1308396,9.193734,-0.21135938,0.15027285,0.043982297,-19.439999,-5.58,-38.34
1774512339957,0.45010993,2.1452048,9.23683,-0.23090707,0.10995574,0.02076942,-19.68,-5.7,-38.52
1774512339979,0.47884035,2.207454,9.26556,-0.24556783,0.09407325,-0.015882496,-19.439999,-5.52,-38.219997
1774512339999,0.5554548,2.2888567,9.136273,-0.28710666,0.10751228,-0.061086524,-18.66,-5.16,-37.98
1774512340021,0.770933,2.4995465,9.064447,-0.3555236,0.11728613,-0.13316862,-17.94,-4.8599997,-37.559998
1774512340042,0.9864111,2.542642,9.409213,-0.41783184,0.1563815,-0.22479841,-18.48,-4.74,-37.86
1774512340062,0.9576807,1.9967642,9.275137,-0.5876524,0.39706242,-0.37140608,-18.84,-4.56,-38.46
1774512340083,0.6703765,1.3263878,8.820239,-0.6597345,0.29810223,-0.38606682,-19.02,-4.44,-38.76
1774512340103,1.6472107,2.111686,8.939949,-0.69027776,0.21624629,-0.6206391,-19.14,-4.14,-39.12
1774512340123,0.33518824,1.7142484,8.695741,-0.7171558,0.05009095,-0.6401868,-17.88,-2.8799999,-39.6
1774512340142,-0.11492168,1.1923125,8.446744,-0.7171558,0.05009095,-0.6401868,-17.1,-2.28,-39.3
1774512340163,-0.320823,0.39743748,8.327033,-0.93951076,-0.30909783,-0.3848451,-17.16,-1.9799999,-39.66
1774512340183,0.18674773,0.58897364,8.207323,-1.423316,-0.46303585,-0.3494149,-17.16,-1.8,-39.96
1774512340204,0.45010993,0.56982,8.269572,-1.7482964,-0.3042109,-0.37384954,-18.66,-2.04,-39.54
1774512340223,0.93373865,0.4405331,9.414001,-1.7556267,0.14538592,-0.51923543,-19.08,-1.38,-39.42
1774512340244,0.81402856,0.31603462,10.089166,-1.6884315,0.48991394,-0.66828656,-19.14,-0.12,-39.84
1774512340264,0.17717093,0.2873042,10.180145,-1.6065756,0.62796944,-0.91629785,-19.74,0.78,-39.96
1774512340284,-0.11492168,-0.4357447,9.825804,-1.4062119,0.61208695,-1.1765264,-18.9,2.1599998,-40.26
1774512340305,-0.8858546,-1.115698,9.959879,-1.097114,0.4166101,-1.3891076,-19.14,3.0,-40.8
1774512340325,-1.4221559,-2.0829554,9.241618,-0.95539325,0.09162979,-1.423316,-18.72,4.5,-40.62
1774512340346,-2.303222,-2.705448,8.916007,-0.816116,-0.3555236,-1.0665708,-18.779999,5.04,-40.62
1774512340366,-2.719813,-3.739743,9.974244,-0.59131753,-0.46181414,-0.31031954,-18.48,5.94,-40.62
1774512340386,-0.79487497,-1.2545617,12.109872,-0.7049385,0.02321288,0.32742378,-18.18,6.48,-40.92
1774512340407,0.16759412,-0.2633622,12.215217,-0.5412266,0.1001819,0.2968805,-18.48,6.42,-40.68
1774512340427,0.16759412,-0.2633622,12.215217,-0.08307768,-0.16737708,0.15149458,-18.24,7.2599998,-40.44
1774512340447,0.20590134,-0.50278234,11.3964,0.32620203,-0.41538838,0.0842994,-18.3,7.3199997,-39.84
1774512340468,0.20590134,-1.0342951,10.79785,0.5644395,-0.35185838,0.09162979,-18.84,7.2599998,-39.059998
1774512340488,0.7374141,-1.1492168,9.988609,0.59986967,-0.17348573,0.13439035,-18.9,7.3799996,-39.0
1774512340509,1.3455414,-0.79008657,10.323798,0.5888741,-0.24190263,0.13439035,-19.5,7.08,-39.42
1774512340529,1.7046716,-0.34476504,10.400413,0.5546656,-0.09896017,-0.06719518,-19.8,6.96,-39.66
